name,peliaikaAlle30min,peliaika31to60min,peliaika1hto2h,peliaikayli2h
"Daytona 500",0,0,1,0
"Cloud 9",1,0,0,0
"Elixir",0,1,0,0
"River Dragons",1,0,0,0
"Formula Motor Racing",1,0,0,0
"Stock Car Championship Racing Card Game",1,0,0,0
"Hera and Zeus",1,0,0,0
"American Megafauna",0,0,0,1
"Oodles",1,0,0,0
"Deadlands: Doomtown Range Wars",0,0,1,0
"Shipwrecked",1,0,0,0
"Bosworth",0,1,0,0
"Mystick Domination",1,0,0,0
"Thieves of Bagdad",0,0,1,0
"Zero",1,0,0,0
"Shit!",1,0,0,0
"Castle",0,1,0,0
"Münchhausen",1,0,0,0
"Where's Bob's Hat?",0,1,0,0
"Sternenhimmel",1,0,0,0
"Plague & Pestilence",1,0,0,0
"Starship Troopers",0,0,1,0
"Bull Run",0,0,0,1
"Star Traders",0,0,1,0
"Would You Rather...?",1,0,0,0
"Minion Hunter",0,1,0,0
"Dune",0,0,1,0
"Quarto",1,0,0,0
"Monopoly: The Card Game",1,0,0,0
"Dr. Jekyll & Mr. Hyde",0,1,0,0
"Cabale",0,1,0,0
"Timbuktu",0,1,0,0
"Wizard Kings",0,0,0,1
"The Big Idea",0,1,0,0
"Conspiracy",0,0,1,0
"Gother Than Thou",1,0,0,0
"HeroQuest",0,0,1,0
"Battle Masters",0,1,0,0
"A House Divided",0,0,0,1
"Wabbit Wampage",0,0,1,0
"Montgolfiere",0,1,0,0
"Frederick the Great",0,0,0,1
"Snit's Revenge",1,0,0,0
"Elfenroads",0,0,1,0
"Blood Bowl (Third Edition)",0,0,0,1
"Nuclear War",0,1,0,0
"Talisman",0,0,0,1
"Escape from Colditz",0,0,0,1
"Galaxy: The Dark Ages",0,0,1,0
"Tyranno Ex",0,0,1,0
"Fast Food Franchise",0,0,1,0
"X-Men Alert",0,1,0,0
"Chill: Black Morn Manor",0,0,1,0
"Breakout: Normandy",0,0,0,1
"San Francisco",0,0,1,0
"The Game of France, 1940: German Blitzkrieg in the West",0,0,0,1
"Bitter Woods",0,0,0,1
"Trax",1,0,0,0
"Minos",0,0,1,0
"Maul of America",0,0,1,0
